global_ids,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Train,Outlier
3Egy$LBd99weR14rW4bp_M,1.805975,0.384,4.668,16.5862154,0.466637949,1.320291319,12.56254219,0.353435595,train,1
197mqEVor8ZRDjVbXCppnN,0.324,4.12505951,4.778,34.96585698,1.157368343,1.949883889,17.93227647,0.59355757,train,1
2d8HbdSu9Fr9Na0iagzLE6,0.606,0.254,4.88,4.349448,0.118234231,0.10260432,42.39049584,1.152331898,train,1
2d8HbdSu9Fr9Na0iagzNap,0.816,0.254,4.778,6.201048,0.178505836,0.152282592,40.72066228,1.17220119,train,1
0tIhQ6hmz02e5gznEedAhk,0.543,0.254,4.668,3.584636,0.10023514,0.082756296,43.3155684,1.211208634,train,1
2d8HbdSu9Fr9Na0iagzMFt,0.254,0.643,4.778,4.598376,0.128829668,0.109514916,41.98858172,1.176366404,train,1
3pms57Ad5AVAb74jf4yKo0,0.606,0.254,4.668,4.154408,0.118234231,0.097956432,42.41077299,1.207008344,train,1
3Egy$LBd99weR14rW4bnvV,0.606,0.254,4.668,4.154408,0.118234231,0.097956432,42.41077299,1.207008344,train,1
2_TmT90dD0x8tJSTjyTbM8,1.893,0.324,2.268,7.934976,0.490036138,0.434139376,18.27748515,1.128753035,train,1
3Egy$LBd99weR14rW4borw,2.826,0.324,4.668,25.225248,0.758905572,1.454888032,17.33827445,0.521624726,train,1
2d8HbdSu9Fr9Na0iagzMWk,0.489,0.254,4.88,3.241692,0.084870981,0.07303608,44.38480269,1.162041836,train,1
2d8HbdSu9Fr9Na0iagzebo,0.489,0.254,4.778,3.17172,0.084870981,0.071444268,44.39432426,1.187932677,train,1
3NhaIUfh12PAdrGa$S3xkv,0.324,3.632,4.778,33.409872,0.99137951,1.948250304,17.14865484,0.508856335,train,1
0tIhQ6hmz02e5gznEed4qr,0.254,0.66,3.2,3.13368,0.133702406,0.07452,42.05152979,1.794181506,train,1
3Egy$LBd99weR14rW4bgbX,0.324,2.1834,4.778,16.4112496,0.597492779,0.883797005,18.56902604,0.676052052,train,1
3Egy$LBd99weR14rW4bnDZ,0.368,2.862,4.668,26.47855335,0.772182444,1.962022235,13.49554193,0.393564574,train,1
2wMrEQnZj0tx6ZcpbcsFGz,7.675,0.35,2.8,32.28718658,2.287835375,2.08287,15.50129705,1.098405265,train,1
