global_ids,types,X,Y,Z,areas,ax1s,ax2s,gyrations,volumes,Rand,Rank,Train
3NhaIUfh12PAdrGa$S3zh$,IfcWallStandardCase,0.384,1.76532786,4.778,16.59288653,12.58412482,0.345060802,0.454982354,1.318557053,0.681498202665575,420,2
0tIhQ6hmz02e5gznEed7Yy,IfcWallStandardCase,0.254,0.489,4.668,3.09626,44.40507984,1.217179005,0.084870981,0.069727608,0.678836403860062,421,2
3LbNSBzHHBSuzhUUvuwDqB,IfcWallStandardCase,3.508,0.324,4.668,31.488736,17.18125475,0.521410089,0.955608009,1.832737856,0.676307222586502,422,2
3Egy$LBd99weR14rW4bmNa,IfcWallStandardCase,0.324,3.84,4.668,34.537824,17.12611038,0.521346399,1.05138702,2.01667648,0.675692142205582,423,2
2O2Fr$t4X7Zf8NOew3FNr2,IfcWallStandardCase,8.583,0.617,3.3,42.284052,8.231143109,0.525562999,2.699859895,5.13708138,0.675471399114222,424,2
3Egy$LBd99weR14rW4boOJ,IfcWallStandardCase,0.254,0.66,4.668,4.642784,41.8324907,1.204687672,0.133702406,0.11098512,0.674872674898148,425,2
3Egy$LBd99weR14rW4bs0u,IfcWallStandardCase,2.018,0.324,4.778,14.855828,18.80712966,0.715047025,0.564818545,0.789904056,0.67471033069919,426,2
2FfnkWJgj4bfZVRJG1JylA,IfcWallStandardCase,0.4,7.38,2.58,37.41437679,11.30145678,0.609680222,2.018395148,3.31058,0.673970876380782,427,2
0tIhQ6hmz02e5gznEed6VB,IfcWallStandardCase,0.7564,0.254,4.668,5.5146256,41.07920092,1.202093447,0.161373521,0.134243741,0.67288682918495,428,2
3ytGjcLIn8bgtszllj$qtx,IfcWallStandardCase,0.3,2.174976774,2.72,6.571911447,24.48787084,2.139579003,0.57420769,0.268374147,0.670005031689079,429,2
1uDBQ9y7vCyxXlpVEuen2j,IfcWallStandardCase,0.997997502,0.254,4.668,7.69963341,39.99093812,1.199208041,0.230888865,0.192534453,0.669987571544213,430,2
