global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Outlier
1byTDaqS91rBnWJlv$nnJP,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$0$,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
0$IaQBYBr3Pw6T1KvIRRPa,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,1
35QeWibpT4DfyH3NIf2ojX,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1Z3ORnu413Pvme3YFTDFKx,IfcDoor,0.32,1.085,2.8,7.5459,0.290976641,0.15046,50.15219992,1.933913606,1
0mxk1RW8H5mvX1dNnpRqn4,IfcDoor,2.182,0.517,2.41,10.965036,0.574538948,0.22291622,49.1890451,2.577376144,1
0ztdC3L1HAzhbhMHypqcDa,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nmrp,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2sJ8,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2n6z,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2nvC,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
0mxk1RW8H5mvX1dNnpRqy_,IfcDoor,0.517,2.182,2.41,10.965036,0.574538948,0.22291622,49.1890451,2.577376144,1
1byTDaqS91rBnWJlv$n$GX,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nn6$,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nmg3,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
3O3VAGTJr8RRXefjF5snTH,IfcDoor,0.32,1.085,2.8,7.5459,0.290976641,0.15046,50.15219992,1.933913605,1
35QeWibpT4DfyH3NIf2oXr,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nnQb,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
0mxk1RW8H5mvX1dNnpRqso,IfcDoor,1.267,0.517,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,1
1oCmeD_UH0NAQ13DTKAKXn,IfcDoor,0.3143,1.1010006,2.525,4.346431765,0.262675542,0.02719423,159.8291932,9.659238235,1
35QeWibpT4DfyH3NIf2nTY,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
2bSdioeDr6uRkuYwLXEqdi,IfcDoor,0.32,1.085,2.8,7.5459,0.290976641,0.15046,50.15219992,1.933913606,1
1byTDaqS91rBnWJlv$n$cb,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nms7,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2nG0,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n_yt,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nmHr,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2n3I,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
257BDFGvb67Bu1YenmZ9KK,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,1
35QeWibpT4DfyH3NIf2nzB,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nmnC,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
3diCC$3KrF5BxpxbSkFSfr,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,1
1byTDaqS91rBnWJlv$nnPu,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
3qpE7fVkr8dRZ2wfCc6tjC,IfcDoor,0.225,1.065,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,1
1byTDaqS91rBnWJlv$nmpw,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2nrl,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
3mC3xuqmjB0gbMnebRM4yv,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,1
35QeWibpT4DfyH3NIf2mTr,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2n$O,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$n$m2,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
35QeWibpT4DfyH3NIf2oAY,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
22bw8OaqT6pRZaE9J6tOrv,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,1
1byTDaqS91rBnWJlv$nnU$,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1byTDaqS91rBnWJlv$nn82,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
1wBWxwKSLByetrptC3STjZ,IfcDoor,2.19,0.32,2.8,14.1436,0.622773922,0.30074,47.02932766,2.070805088,1
35QeWibpT4DfyH3NIf2nIt,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,1
