global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Rand,Rank,Train
2NHD_$8fb3ZexljM$wSStT,IfcDoor,2.902,0.245999999,2.162000012,12.53887856,0.804874549,0.059765163,209.802467,13.46728619,0.0425966593235366,341,2
35QeWibpT4DfyH3NIf2sIn,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0403706719241015,342,2
0B_j0fwlj889mmxSnxsdQl,IfcDoor,0.32,1.085,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.0384424055376705,343,2
1byTDaqS91rBnWJlv$nnTt,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0370296616717859,344,2
0jTEfRlBLDTf4uGpJsX60v,IfcDoor,1.21,0.32,2.8,8.2634,0.329471078,0.16746,49.34551535,1.967461349,0.0291481888428945,345,2
35QeWibpT4DfyH3NIf2nOv,IfcDoor,1.065,0.225,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,0.0276368404944927,346,2
35QeWibpT4DfyH3NIf2nLm,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.027424823401205,347,2
3qOL0KDQH3Qvieacuq$yd5,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.0222682921034625,348,2
2WsM$nyvb98RWhlaU_oiAD,IfcDoor,1.085,0.32,2.33,6.2534,0.290543469,0.1240225,50.4214961,2.342667414,0.0184604532964378,349,2
1byTDaqS91rBnWJlv$nnKl,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0124324630256797,350,2
35QeWibpT4DfyH3NIf2mGD,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0116808345442736,351,2
1byTDaqS91rBnWJlv$n_yt,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.00694575167200432,352,2
35QeWibpT4DfyH3NIf2nzB,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.0063862103927158,353,2
