X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Rand,Rank,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJsp,0.391513745,IfcWindow,0.068159298,0.0765474381186535,112,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgMW,0.391513745,IfcWindow,0.068159298,0.165489807417207,102,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJps,0.391513745,IfcWindow,0.068159298,0.958131962624004,5,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg3B,0.391513745,IfcWindow,0.068159298,0.68716616225304,34,Train
0.95,0.32,1.18,2.565,82.74193548,8.819128958,3FQVPSydHDKO1C1ghFW_N5,0.273392998,IfcWindow,0.031,0.529380995453678,47,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxG1w,0.391513745,IfcWindow,0.068159298,0.367948845198483,69,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmgfp,0.391513745,IfcWindow,0.068159298,0.0204229399064119,121,Train
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,0_QRrhjHj50x3FYdiDDmEV,0.384804697,IfcWindow,0.076102,0.0417073445738246,117,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg2W,0.391513745,IfcWindow,0.068159298,0.291733304646797,82,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxG8P,0.391513745,IfcWindow,0.068159298,0.437383446941504,63,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098844,0otfaO0qPDAhynjJ6DmgWH,0.391513745,IfcWindow,0.068159298,0.99022119654145,3,Train
0.95,0.32,0.825,1.784,77.52308528,11.38443565,1e8IKHqkbCER6lN5_kMoH5,0.261984325,IfcWindow,0.0230125,0.321498351950908,80,Train
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,3DH59LoNP1tQ_TY_i4PqcO,0.428325254,IfcWindow,0.043075,0.924912374659604,8,Train
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,376s9IwDr1o89AU3LdwJtO,0.384804697,IfcWindow,0.076102,0.79142130143586,25,Train
0.617,0.95,2.4,9.044896,91.66438576,3.369756947,1l0GAJtRTFv8$zmKJOH4aS,0.332507559,IfcWindow,0.098674048,0.498191887175369,51,Train
1.019,0.617,0.959,4.249626,87.21299781,6.78922304,1hOSvn6df7F8_7GcBWlSga,0.330818335,IfcWindow,0.04872698,0.729510165867581,32,Train
0.95,0.32,1.18,2.565,82.74193548,8.819128958,1ecjPdXmv1k8mMW9IVwviV,0.273392998,IfcWindow,0.031,0.83485349537161,19,Train
0.617,3,2.61,23.751856,107.0884353,4.57987981,1l0GAJtRTFv8$zmKJOH4$e,1.01580199,IfcWindow,0.221796648,0.391401229955183,66,Train
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,1ZAn9yRZj7EAVstuwcZV7M,0.342127331,IfcWindow,0.028325,0.996480351966088,1,Train
1.372537683,1.424537683,0.3778,5.458225014,129.9602663,14.54103308,1Eo2$BaHX42AEkDvQQDocD,0.61071151,IfcWindow,0.041999183,0.0128141838313771,122,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg0_,0.391513745,IfcWindow,0.068159298,0.154559609149975,104,Train
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,0YZQk2z7H7pALLPQy5moJC,0.384804697,IfcWindow,0.076102,0.843856929635945,17,Train
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,0ts2uIyTXANPCCECMbRXsb,0.384804697,IfcWindow,0.076102,0.192655884584947,98,Train
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,3XAmjDLYrE_9uZwmC1hFxe,0.342127331,IfcWindow,0.028325,0.759099112459446,31,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DnLrq,0.391513745,IfcWindow,0.068159298,0.178464064582343,99,Train
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,0hClkaWNXADeZuzBgt7BwR,0.428325254,IfcWindow,0.043075,0.901702456200187,11,Train
3,0.617,2.61,23.751856,107.0884353,4.57987981,1hOSvn6df7F8_7GcBWlSXO,1.01580199,IfcWindow,0.221796648,0.171732849006321,101,Train
1.372537683,1.424537683,0.3778,5.458225014,129.9602663,14.54103308,1Eo2$BaHX42AEkDvQQDoy2,0.61071151,IfcWindow,0.041999183,0.0464442310501843,114,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJu4,0.391513745,IfcWindow,0.068159298,0.629457537207689,39,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgSS,0.391513745,IfcWindow,0.068159298,0.271223957107346,88,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgdG,0.391513745,IfcWindow,0.068159298,0.883257893288567,12,Train
1.019,0.617,0.959,4.25305924,87.04354278,6.760417,1hOSvn6df7F8_7GcBWlSp1,0.330322653,IfcWindow,0.048861284,0.360023740832026,70,Train
1.019,0.617,0.959,4.25305924,87.04354278,6.760417,1hOSvn6df7F8_7GcBWlS1M,0.330322653,IfcWindow,0.048861284,0.290454010892195,83,Train
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,37wAzjMQf3$gm9k5FcpmpO,0.384804697,IfcWindow,0.076102,0.971540369893804,4,Train
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,2XMhby0h13fBBJP1ZK$H04,0.342127331,IfcWindow,0.028325,0.0425294580776369,116,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJrM,0.391513745,IfcWindow,0.068159298,0.671227059955162,36,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg87,0.391513745,IfcWindow,0.068159298,0.907664913894455,10,Train
1.2,0.467,1.935,7.183156,105.3877638,5.744098844,2g$QZpOGbBUxSNx_ZgxG25,0.391513745,IfcWindow,0.068159298,0.869495969450925,13,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgUg,0.391513745,IfcWindow,0.068159298,0.193057113070783,97,Train
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,1UvQBmwUP1wwMo_BGRQ3Lz,0.384804697,IfcWindow,0.076102,0.804554523013043,23,Train
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,0xYqOk0Sf4jPKywvhPpOSB,0.342127331,IfcWindow,0.028325,0.642554742899243,38,Train
1.019,0.617,0.959,4.249626,87.21299781,6.78922304,1hOSvn6df7F8_7GcBWlS2V,0.330818335,IfcWindow,0.04872698,0.283829535809961,85,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJk0,0.391513745,IfcWindow,0.068159298,0.503351779993092,50,Train
0.467,1.2,1.935,7.183156,105.3877638,5.744098844,2g$QZpOGbBUxSNx_ZgxJl5,0.391513745,IfcWindow,0.068159298,0.826110687817357,22,Train
1.415,0.32,1.68,5.3669,95.65473114,7.879142714,08r4_f05L5auzD4X$ClcAw,0.44207506,IfcWindow,0.056107,0.335428412109673,73,Train
5.035,0.617,2.62,37.739076,111.891593,4.862684702,1hOSvn6df7F8_7GcBWlRBU,1.640098443,IfcWindow,0.337282498,0.232929124410111,92,Train
1.415,0.32,1.68,5.3669,95.65473114,7.879142714,102hFfQGDEOBE7V8g0mC8W,0.44207506,IfcWindow,0.056107,0.219246136232571,93,Train
0.95,0.32,1.18,2.565,82.74193548,8.819128958,3wXp5YXGP6tfEj9QG9WwCj,0.273392998,IfcWindow,0.031,0.610195438616607,41,Train
0.95,0.32,0.825,1.784,77.52308528,11.38443565,1_90YXbZDAKA_u7Z36qQe_,0.261984325,IfcWindow,0.0230125,0.322445759987771,79,Train
0.95,0.32,0.825,1.784,77.52308528,11.38443565,2Z$bhUvXvB0eC0sh$4Wc5y,0.261984325,IfcWindow,0.0230125,0.908104787607123,9,
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJnH,0.391513745,IfcWindow,0.068159298,0.949094334066731,6,
0.467,1.2,1.935,7.183156,105.3877638,5.744098844,0otfaO0qPDAhynjJ6DnLsa,0.391513745,IfcWindow,0.068159298,0.381463353287702,67,
0.617,0.95,2.4,9.044896,91.66438576,3.369756947,1hOSvn6df7F8_7GcBWlRLx,0.332507559,IfcWindow,0.098674048,0.203466065100893,94,
0.617,0.95,2.4,9.044896,91.66438576,3.369756947,1hOSvn6df7F8_7GcBWlRRL,0.332507559,IfcWindow,0.098674048,0.947939755804974,7,
0.95,0.32,1.18,2.565,82.74193548,8.819128958,1pgH2UbyLCSAqMChvlRTgP,0.273392998,IfcWindow,0.031,0.497261544672932,52,
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgH8,0.391513745,IfcWindow,0.068159298,0.288300779204658,84,
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,3NYMu5Ps5BlvapoySwenJi,0.384804697,IfcWindow,0.076102,0.34517562873477,71,
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,1deg7wfi96yububV0SOjn4,0.384804697,IfcWindow,0.076102,0.268494142233123,90,
