X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Outlier
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg0_,0.391513745,IfcWindow,0.068159298,1
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,0YZQk2z7H7pALLPQy5moJC,0.384804697,IfcWindow,0.076102,1
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,0ts2uIyTXANPCCECMbRXsb,0.384804697,IfcWindow,0.076102,1
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,3XAmjDLYrE_9uZwmC1hFxe,0.342127331,IfcWindow,0.028325,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DnLrq,0.391513745,IfcWindow,0.068159298,1
1.415,0.32,1.2,3.8645,89.7156123,9.943708747,0hClkaWNXADeZuzBgt7BwR,0.428325254,IfcWindow,0.043075,1
3,0.617,2.61,23.751856,107.0884353,4.57987981,1hOSvn6df7F8_7GcBWlSXO,1.01580199,IfcWindow,0.221796648,1
1.372537683,1.424537683,0.3778,5.458225014,129.9602663,14.54103308,1Eo2$BaHX42AEkDvQQDoy2,0.61071151,IfcWindow,0.041999183,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJu4,0.391513745,IfcWindow,0.068159298,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgSS,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgdG,0.391513745,IfcWindow,0.068159298,1
1.019,0.617,0.959,4.25305924,87.04354278,6.760417,1hOSvn6df7F8_7GcBWlSp1,0.330322653,IfcWindow,0.048861284,1
1.019,0.617,0.959,4.25305924,87.04354278,6.760417,1hOSvn6df7F8_7GcBWlS1M,0.330322653,IfcWindow,0.048861284,1
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,37wAzjMQf3$gm9k5FcpmpO,0.384804697,IfcWindow,0.076102,1
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,2XMhby0h13fBBJP1ZK$H04,0.342127331,IfcWindow,0.028325,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJrM,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6Dmg87,0.391513745,IfcWindow,0.068159298,1
1.2,0.467,1.935,7.183156,105.3877638,5.744098844,2g$QZpOGbBUxSNx_ZgxG25,0.391513745,IfcWindow,0.068159298,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,0otfaO0qPDAhynjJ6DmgUg,0.391513745,IfcWindow,0.068159298,1
1.21,0.32,2.72,7.4454,97.8344853,5.056433428,1UvQBmwUP1wwMo_BGRQ3Lz,0.384804697,IfcWindow,0.076102,1
1.2,0.32,0.825,2.2715,80.19417476,12.07863481,0xYqOk0Sf4jPKywvhPpOSB,0.342127331,IfcWindow,0.028325,1
1.019,0.617,0.959,4.249626,87.21299781,6.78922304,1hOSvn6df7F8_7GcBWlS2V,0.330818335,IfcWindow,0.04872698,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098845,2g$QZpOGbBUxSNx_ZgxJk0,0.391513745,IfcWindow,0.068159298,1
0.467,1.2,1.935,7.183156,105.3877638,5.744098844,2g$QZpOGbBUxSNx_ZgxJl5,0.391513745,IfcWindow,0.068159298,1
1.415,0.32,1.68,5.3669,95.65473114,7.879142714,08r4_f05L5auzD4X$ClcAw,0.44207506,IfcWindow,0.056107,1
5.035,0.617,2.62,37.739076,111.891593,4.862684702,1hOSvn6df7F8_7GcBWlRBU,1.640098443,IfcWindow,0.337282498,1
1.415,0.32,1.68,5.3669,95.65473114,7.879142714,102hFfQGDEOBE7V8g0mC8W,0.44207506,IfcWindow,0.056107,1
0.95,0.32,1.18,2.565,82.74193548,8.819128958,3wXp5YXGP6tfEj9QG9WwCj,0.273392998,IfcWindow,0.031,1
0.95,0.32,0.825,1.784,77.52308528,11.38443565,1_90YXbZDAKA_u7Z36qQe_,0.261984325,IfcWindow,0.0230125,1
